61594 9.93014
61643 9.57178
61725 11.0828
61660 10.6803
61648 9.64369
61640 7.83804
61631 10.3657
61594 8.84331
61683 9.8159
61621 9.81841
6194 1.12674
6273 0.998884
6238 0.971465
6267 0.976065
6105 1.55201
6230 1.0679
6215 1.14481
6186 1.20805
6111 1.39993
6242 1.029
15358 2.15594
15442 2.07279
15377 2.00962
15403 2.72057
15363 2.30287
15424 2.38453
15363 2.24969
15376 2.79657
15376 2.8564
15396 2.20752
30780 4.50364
30821 4.95915
30831 4.82686
30810 5.51243
30744 4.86892
30832 4.58238
30795 5.06293
30801 5.18162
30828 3.21133
30823 5.09658
46274 3.99451
46236 4.9501
46259 7.30474
46270 5.93512
46229 7.47981
46313 8.35185
46267 7.87235
46306 6.6489
46234 7.77586
46249 7.98549
